lon,lat,lon_norm,lat_norm,lon_bin,lat_bin,partition_id,local_cluster,is_border,global_cluster
121.4266,31.2551,0.387712454722748,0.33123595505617826,46,39,46_39,-1,False,-1
121.4266,31.2551,0.387712454722748,0.33123595505617826,46,39,46_39,-1,False,-1
121.4283,31.2676,0.39008080245191995,0.3424719101123606,46,41,46_41,-1,True,-1
121.4296,31.2681,0.3918918918918761,0.3429213483146068,47,41,47_41,-1,True,-1
121.4308,31.2688,0.3935636667595432,0.3435505617977514,47,41,47_41,-1,True,-1
121.4311,31.27,0.39398161047645003,0.3446292134831453,47,41,47_41,-1,False,-1
121.4323,31.271,0.39565338534409733,0.3455280898876408,47,41,47_41,-1,False,-1
121.4338,31.2723,0.39774310392867124,0.346696629213484,47,41,47_41,-1,False,-1
121.4346,31.2728,0.3988576205071028,0.3471460674157301,47,41,47_41,-1,True,-1
121.4368,31.2746,0.4019225410977993,0.3487640449438194,48,41,48_41,-1,True,-1
121.4455,31.2758,0.41404290888825684,0.34984269662921336,49,41,49_41,-1,True,-1
121.4468,31.2765,0.415853998328213,0.35047191011235795,49,42,49_42,-1,True,-1
121.4478,31.2773,0.4172471440512623,0.351191011235955,50,42,50_42,-1,True,-1
121.4483,31.2781,0.4179437169127869,0.35191011235954883,50,42,50_42,-1,True,-1
121.4478,31.2811,0.4172471440512623,0.35460674157303207,50,42,50_42,-1,True,-1
121.4476,31.2815,0.4169685149066445,0.3549662921348322,50,42,50_42,-1,True,-1
121.4476,31.2815,0.4169685149066445,0.3549662921348322,50,42,50_42,-1,True,-1
121.4095,31.3031,0.36388966285872004,0.3743820224719104,43,44,43_44,-1,True,-1
121.4025,31.3253,0.3541376427974344,0.3943370786516839,42,47,42_47,-1,False,-1
121.4,31.3545,0.350654778489831,0.4205842696629226,42,50,42_50,-1,True,-1
121.4,31.3545,0.350654778489831,0.4205842696629226,42,50,42_50,-1,True,-1
121.4,31.3545,0.350654778489831,0.4205842696629226,42,50,42_50,-1,True,-1
121.4001,31.3545,0.35079409306212006,0.4205842696629226,42,50,42_50,-1,True,-1
121.4,31.3536,0.350654778489831,0.41977528089887634,42,50,42_50,-1,True,-1
121.4001,31.3528,0.35079409306212006,0.4190561797752793,42,50,42_50,-1,True,-1
121.399,31.3523,0.3492616327667817,0.4186067415730332,41,50,41_50,-1,True,-1
121.3978,31.3518,0.34758985789913444,0.41815730337078705,41,50,41_50,-1,True,-1
121.3961,31.3511,0.3452215101699625,0.41752808988763923,41,50,41_50,-1,True,-1
