lon,lat,global_cluster
121.4696,31.2565,-1
121.4696,31.2565,-1
121.4696,31.2565,-1
121.4696,31.2565,-1
121.4696,31.2565,-1
121.4696,31.2565,-1
121.4696,31.2565,-1
121.4696,31.2565,-1
121.4696,31.2565,-1
121.4696,31.2565,-1
121.4696,31.2565,-1
121.4696,31.2565,-1
121.4696,31.2565,-1
121.4696,31.2565,-1
121.4696,31.2565,-1
121.4696,31.2565,-1
121.4696,31.2565,-1
121.4696,31.2568,-1
121.4696,31.2568,-1
121.4696,31.2568,-1
121.4696,31.2568,-1
121.4696,31.2568,-1
121.4696,31.2563,-1
121.4701,31.2555,-1
121.4711,31.2543,-1
121.4723,31.254,-1
121.4733,31.2533,-1
121.4741,31.2525,-1
121.4733,31.2518,-1
121.4716,31.2515,-1
121.4706,31.251,-1
121.4695,31.2505,-1
121.4711,31.2473,-1
121.4711,31.2473,-1
121.4713,31.2473,-1
121.4715,31.2475,-1
121.471,31.2473,-1
121.4715,31.2458,-1
121.4718,31.2435,-1
121.4718,31.2421,-1
